,county_fips_code,population,percentile_rank
164,5107,17782,0.26607256524506684
165,5109,10718,0.5381922342457034
166,5111,23528,0.6833227243793762
167,5113,19964,0.697644812221515
168,5115,64072,0.23997453851050288
169,5117,8062,0.3526416295353278
170,5119,391911,0.2877148313176321
171,5121,17958,0.42998090388287713
172,5123,24994,0.3771483131763208
173,5125,122437,0.5022278803309994
174,5127,10281,0.8036282622533418
175,5129,7881,0.7278803309993634
176,5131,127827,0.21833227243793762
177,5133,17007,0.0792488860598345
178,5135,17442,0.66008911521324
179,5137,12506,0.7966263526416295
180,5139,38682,0.593252705283259
181,5141,16545,0.9513049013367282
182,5143,239187,0.19669000636537237
183,5145,78753,0.7498408656906429
184,5147,6320,0.6002546148949713
185,5149,21341,0.015913430935709738
186,6001,1671329,0.5054105665181413
